Complexity metrics,Wed, 3 Jun 2020 18:27:59 EEST
Method,ev(G),iv(G),v(G)
"com.example.parking.domain.UserTest.removeVehicleButUserHasOnlyOneTest()",1,1,1
"com.example.parking.domain.UserTest.removeVehicleFromEmptyTest()",1,1,1
"com.example.parking.domain.UserTest.removeVehicleThatDoesNotExistTest()",1,1,1
"com.example.parking.domain.UserTest.removeVehicleThatDoesntExistTest()",1,1,1
"com.example.parking.domain.UserTest.removeVehicleThatExistsTest()",1,1,1
"com.example.parking.domain.UserTest.setCreditsTest()",1,1,1
"com.example.parking.domain.UserTest.setEmailTest()",1,1,1
"com.example.parking.domain.UserTest.setNameTest()",1,1,1
"com.example.parking.domain.UserTest.setPasswordTest()",1,1,1
"com.example.parking.domain.UserTest.setPenaltyOK()",1,1,1
"com.example.parking.domain.UserTest.setPenaltyTo0()",1,1,1
"com.example.parking.domain.UserTest.setPhoneTest()",1,1,1
"com.example.parking.domain.UserTest.setSurnameTest()",1,1,1
"com.example.parking.domain.UserTest.setUsernameTest()",1,1,1
"com.example.parking.domain.UserTest.setup()",1,1,1
"com.example.parking.domain.UserTest.toStringTest()",1,1,1
"com.example.parking.domain.Vehicle.Vehicle()",1,1,1
"com.example.parking.domain.Vehicle.Vehicle(Colour,int,String,String,String,String)",1,1,1
"com.example.parking.domain.Vehicle.getBrand()",1,1,1
"com.example.parking.domain.Vehicle.getColour()",1,1,1
"com.example.parking.domain.Vehicle.getLength()",1,1,1
"com.example.parking.domain.Vehicle.getModel()",1,1,1
"com.example.parking.domain.Vehicle.getPlate()",1,1,1
"com.example.parking.domain.Vehicle.getText()",1,1,1
"com.example.parking.domain.Vehicle.setBrand(String)",1,1,1
"com.example.parking.domain.Vehicle.setColour(Colour)",1,1,1
"com.example.parking.domain.Vehicle.setLength(int)",1,1,1
"com.example.parking.domain.Vehicle.setModel(String)",1,1,1
"com.example.parking.domain.Vehicle.setPlate(String)",6,3,8
"com.example.parking.domain.Vehicle.setText(String)",1,1,1
"com.example.parking.domain.Vehicle.toString()",1,1,1
"com.example.parking.domain.VehicleTest.FullConTest()",1,1,1
"com.example.parking.domain.VehicleTest.InvalidPlate1()",1,1,1
"com.example.parking.domain.VehicleTest.InvalidPlate2()",1,1,1
"com.example.parking.domain.VehicleTest.InvalidPlate3()",1,1,1
"com.example.parking.domain.VehicleTest.ValidPlate()",1,1,1
"com.example.parking.domain.VehicleTest.getBrand()",1,1,1
"com.example.parking.domain.VehicleTest.getLength()",1,1,1
"com.example.parking.domain.VehicleTest.getModel()",1,1,1
"com.example.parking.domain.VehicleTest.getPlate()",1,1,1
"com.example.parking.domain.VehicleTest.getText()",1,1,1
"com.example.parking.domain.VehicleTest.setup()",1,1,1
"com.example.parking.domain.VehicleTest.toStringTest()",1,1,1
"com.example.parking.memorydao.MemoryInitializer.eraseData()",1,5,5
"com.example.parking.memorydao.MemoryInitializer.getParkingDAO()",1,1,1
"com.example.parking.memorydao.MemoryInitializer.getRatingDAO()",1,1,1
"com.example.parking.memorydao.MemoryInitializer.getRequestDAO()",1,1,1
"com.example.parking.memorydao.MemoryInitializer.getUserDAO()",1,1,1
"com.example.parking.memorydao.MemoryInitializer.prepareData()",1,1,1
"com.example.parking.memorydao.ParkingRequestDAOMemory.delete(ParkingRequest)",1,1,1
"com.example.parking.memorydao.ParkingRequestDAOMemory.find(ParkingRequest)",3,2,3
"com.example.parking.memorydao.ParkingRequestDAOMemory.findAll()",1,1,1
"com.example.parking.memorydao.ParkingRequestDAOMemory.save(ParkingRequest)",1,2,2
"com.example.parking.memorydao.ParkingSpaceDAOMemory.delete(ParkingSpace)",1,1,1
"com.example.parking.memorydao.ParkingSpaceDAOMemory.find(ParkingSpace)",3,2,3
"com.example.parking.memorydao.ParkingSpaceDAOMemory.findAll()",1,1,1
"com.example.parking.memorydao.ParkingSpaceDAOMemory.findAllAvailable()",1,3,3
"com.example.parking.memorydao.ParkingSpaceDAOMemory.save(ParkingSpace)",1,2,2
"com.example.parking.memorydao.RatingDAOMemory.calculateStats(String)",2,3,4
"com.example.parking.memorydao.RatingDAOMemory.delete(Rating)",1,1,1
"com.example.parking.memorydao.RatingDAOMemory.findAll()",1,1,1
"com.example.parking.memorydao.RatingDAOMemory.findAllOfUser(String)",1,3,3
